이름,내용,배경,인물,흔들림,흔들림 강도,효과음
,10년 후,0,0,0,0,11
,제국력 377년 제국의 수도 엘가시아의 마탑 스텔라의 방 앞,6,0,0,0,0
,한 여성이 문 앞에 서있다,6,2,0,0,0
,똑똑똑,6,2,1,0,1
벨라,스텔라~ 해가 중천에 떴어! 언제까지 잘꺼야,6,2,0,0,0
,......,6,2,0,0,0
,똑똑똑똑똑똑똑똑똑,6,2,1,0,2
벨라,스텔라~ 마탑주님께서 부르셔~,6,2,0,0,0
,......,6,2,0,0,0
,빠직,6,2,0,0,0
,쾅쾅쾅쾅,6,2,1,30,3
벨라,야! 빨리 안나와!,6,2,0,0,0
,잠시 후 눈을 비비며 한 여성이 문을 열고 나왔다,7,4,0,0,9
스텔라,아... 벨라구나 좋은 아침...,7,4,0,0,0
벨라,좋은 아침은 무슨 벌써 2시야! 밤에 뭘 하길래 이 시간 까지 잔 거야?,7,2,0,0,0
스텔라,지금 개발 중인 카드 마법을 완성 시키느라 좀 늦게 자버렸네 헤헤,7,4,0,0,0
벨라,아아~ 그거 결국엔 성공했구나?,7,2,0,0,0
스텔라,그렇다니까! 이제 마법을 사용할 때마다 마나를 쓰지 않아도 돼!,7,4,0,0,0
스텔라,이것만 있으면…. 읍!,7,4,0,0,0
,벨라의 손이 스텔라의 입을 가로막는다,7,4,0,0,0
벨라,그래그래 알았어 알았어 그것보다 지금 마탑주님이...,7,2,0,0,0
,콰------------앙,0,0,1,50,10
